District,Total Population,Rural Population,Urban Population,Percent Rural,Percent Urban,Disability Status,Disability Percent,Literacy,Literacy Percent,Population 10 Years and Above,Acccess to Internet,Percent Access to Internet,Total Households,Average Household Size,Total,Electric Iron,Charcoal Iron,Generator,Refridgerator/Freezer,Television,Computer,Radio,Modern Stove,Bed,Mobile Phone,Sofa,Bicycle,Motorcycle,Car,Truck,Boat,Electric Iron Percent,Charcoal Iron Percent,Generator Percent,Fridge Percent,TV Percent,Computer Percent,Radio Percent,Stove Percent,Bed Percent,Mobile Phone Percent,Sofa Percent,Bike Percent,Motorcycle Percent,Car Percent,Truck Percent,Boat Percent,,0-19,20-64,65+,Crop Farming,Mining and Quarrying,Manufacturing,"Wholesale & Retail Trade
Repair of Motor Vehicles
and Motorcycles",Fishing & Aquaculture,Transport and Storage,Other,Total - Industry,Crop Farming Percent,Mining Percent,Manufacturing Percent,Wholeshole Percent,Fishing Percent,Transport Percent,Other,Total Farming Land (Acres),Upland Rice,Lowland Rice,Cassava,Sweet Potato,Groundnut,Maize,Coffee,Cacao,Oil palm,Citrus,Vegetables,Cashew,Upland Rice Percent,Lowland Rice Percent,Cassava Percent,Sweet Potato Percent,Groundnut Percent,Maize Percent,Coffee Percent,Cacao Percent,Oil Palm Percent,Citrus Percent,Vegetables Percent,Cashew Percent
Moyamba,318588,295891,22697,0.928757518,0.071242482,5866,0.018412495,86723,0.272210504,216236,12101,0.055962004,61880,5.1,32538,162,5264,1515,384,1342,598,19847,821,28965,17713,2118,1901,1809,240,100,7830,0.004978794,0.161780073,0.046560944,0.011801586,0.041244084,0.018378511,0.609963735,0.025232036,0.890189932,0.54437888,0.065093122,0.058423997,0.055596533,0.007375991,0.00307333,0.240641711,,169664,132925,15215,110130,1331,2819,7470,6207,1157,10497,139611,0.788834691,0.009533633,0.020191819,0.053505813,0.044459247,0.008287313,0.075187485,210347,86686,26459,44601,3891,27672,5210,537,872,9062,891,4386,80,0.412109514,0.125787389,0.212035351,0.018498006,0.131554051,0.024768597,0.002552924,0.004145531,0.043081194,0.004235858,0.02085126,0.000380324
Pujehun,346461,318344,28117,0.918845123,0.081154877,4843,0.013978485,101782,0.293776211,240852,18425,0.076499261,51514,6.7,61880,357,8596,2519,811,2320,968,34056,1702,51684,28346,3198,2893,3197,508,159,2762,0.005769231,0.138914027,0.040707822,0.013106012,0.03749192,0.01564318,0.550355527,0.027504848,0.835229476,0.458080155,0.051680672,0.046751778,0.051664512,0.008209438,0.002569489,0.044634777,,197177,138112,10673,95523,2941,3054,7224,6545,1102,10025,126414,0.755636243,0.023264828,0.024158717,0.057145569,0.051774329,0.008717389,0.079302925,200489,76343,20845,42144,2575,13212,1142,3489,3533,31038,362,5673,135,0.380783983,0.103970791,0.210206046,0.012843597,0.065898877,0.005696073,0.017402451,0.017621914,0.154811486,0.001805585,0.028295817,0.000673354
Western Area Rural,444270,43638,400632,0.098224053,0.901775947,4126,0.009287145,217769,0.490172643,328748,57038,0.173500675,91284,4.9,51514,209,6966,1552,483,1390,675,28652,1216,43589,24625,3321,1878,3075,414,97,3945,0.00405715,0.135225376,0.030127732,0.009376092,0.026982956,0.013103234,0.556198315,0.023605234,0.846158326,0.478025391,0.064467912,0.036456109,0.059692511,0.00803665,0.001882983,0.076581124,,219602,213040,11245,10871,6055,9197,59892,10145,9334,52258,157752,0.068911963,0.038383032,0.05830037,0.379659212,0.064309803,0.059168822,0.331266799,23223,4889,2973,4252,3036,2767,953,219,84,412,89,3421,127,0.210524049,0.128019636,0.183094346,0.130732464,0.119149119,0.041036903,0.009430306,0.003617104,0.017741033,0.003832408,0.147310856,0.005468716
Western Area Urban,1055964,0,1055964,0,1,7807,0.007393244,639661,0.605760234,822137,239694,0.291549948,229951,4.6,91284,6732,40888,16667,12065,24288,8073,69937,8642,71300,76765,15721,6304,6356,6949,1058,1680,0.073747864,0.447920775,0.182584023,0.132169931,0.266070724,0.088438281,0.766147408,0.094671574,0.781078831,0.840946935,0.172220762,0.0690592,0.069628851,0.07612506,0.011590202,0.018404101,,475281,552132,27721,7671,7244,23216,140093,6471,22919,163794,371408,0.020653836,0.019504157,0.062508077,0.377194352,0.017422888,0.061708418,0.441008271,4258,1262,639,484,321,448,115,75,89,435,89,186,117,0.296383279,0.150070456,0.113668389,0.075387506,0.105213715,0.027007985,0.017613903,0.020901832,0.102160639,0.020901832,0.04368248,0.027477689
,,,,,,,,,,,,,,,229951,47907,138259,42808,85534,148989,40303,186577,40970,206752,211962,75293,16365,14386,24287,3054,2393,0.208335689,0.60125418,0.1861614,0.371966201,0.647916295,0.175267774,0.811377206,0.178168392,0.899113289,0.92177029,0.327430627,0.071167336,0.062561154,0.105618153,0.01328109,0.010406565,,,,,,,,,,,,,,,,,,,,3244214,1133925,560384,342507,50105,299580,28984,191791,235749,307593,9487,79742,4368,0.349522257,0.172733365,0.105574725,0.015444419,0.09234286,0.008934059,0.059117863,0.072667524,0.094812796,0.002924283,0.02457976,0.001346397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
